DFS ID,Name,Pos,Team,Opp,Status,Salary,Actual,SS Proj,Live Proj,My Proj,Value,My Own,Adj Own,Min Exp,Max Exp,Saber Team,Saber Total,dk_points,dk_25_percentile,dk_50_percentile,dk_75_percentile,dk_85_percentile,dk_95_percentile,dk_99_percentile,fd_points,fd_25_percentile,fd_50_percentile,fd_75_percentile,fd_85_percentile,fd_95_percentile,fd_99_percentile,yahoo_points,yahoo_25_percentile,yahoo_50_percentile,yahoo_75_percentile,yahoo_85_percentile,yahoo_95_percentile,yahoo_99_percentile,ob_points,ob_25_percentile,ob_50_percentile,ob_75_percentile,ob_85_percentile,ob_95_percentile,ob_99_percentile,dk_std,fd_std,yahoo_std,ob_std,PTS,Min,2PT,3PT,RB,Off Reb,Def Reb,AST,STL,BLK,TO
123876-22541,Kelly Olynyk,C/PF,SA,MEM,,3800,0,14.15,,14.15,3.7236842105263155,0.27,0.239220459188131,0,100,117.953,232.11970000000002,14.1664,10.25,14.125,18.75,21.25,26.5,32.6263,14.147,10.05,14.05,18.8,21.55,26.7,33.151,14.147,10.05,14.05,18.8,21.55,26.7,33.151,14.381,10.45,14.35,18.9,21.7,26.7,33.2,6.34111,6.60593,6.60593,6.43779,5.48391,14.1996,1.39584,0.548,3.17734,0.682833,2.4945,2.47942,0.61425,0.342916,1.09866
123876-171785,Bryce McGowens,SG,NO,MIN,,4000,0,13.19,,13.19,3.2975,0.18,0.16564445220866322,0,100,109.2295,231.5085,13.6614,10,13.75,18,20.25,24.75,30.625,13.1908,9.5,13.3,17.45,19.8,24.25,30.1505,13.1908,9.5,13.3,17.45,19.8,24.25,30.1505,13.4356,9.85,13.55,17.65,19.95,24.35,29.8505,5.91961,5.94278,5.94278,5.80563,8.393,17.6551,1.70712,0.881625,2.32383,0.645083,1.67875,1.20066,0.384416,0.168125,0.836459
123876-171776,Josh Minott,PF/SF,BOS,NY,,4000,0,13.08,,13.08,3.27,0.38,0.33642683565222575,0,100,115.1897,230.1754,12.472,8.875,12.375,16.5,18.75,23.25,28.1262,13.0776,9.25,13.1,17.45,19.9,24.65,29.8505,13.0776,9.25,13.1,17.45,19.9,24.65,29.8505,12.9791,9.25,12.95,17.2,19.6,24.0525,29.1005,5.63282,6.09528,6.09528,5.8866,5.25641,13.8237,1.3575,0.538833,2.66467,0.691417,1.97325,1.113,0.773834,0.561,0.499166
123876-9575,Mike Conley,PG,MIN,NO,,3800,0,12.6,,12.6,3.31578947368421,0.32,0.277776257482818,0,100,122.279,231.5085,12.6169,8.75,12.125,16.25,18.625,23,28.0025,12.6047,8.65,12.2,16.3,18.8,23.1025,28.45,12.6047,8.65,12.2,16.3,18.8,23.1025,28.45,12.5946,8.75,12.15,16.2,18.55,22.705,28.1,5.66572,5.82396,5.82396,5.61387,4.5435,16.7959,0.649333,0.877917,1.39937,0.283208,1.11617,3.12675,0.658584,0.162792,0.603292
123876-188446,Sidy Cissoko,SF,POR,TOR,,3700,0,12.15,,12.15,3.2837837837837838,0.19,0.15165451010276806,0,100,113.9655,231.7748,11.6024,8,11.25,14.875,17.125,21.25,25.875,12.1516,8.1,11.9,15.85,18.25,22.5,27.7,12.1516,8.1,11.9,15.85,18.25,22.5,27.7,12.1328,8.35,11.8,15.6,18.0075,22,26.9515,5.21667,5.72293,5.72293,5.44581,4.93,22.7388,1.37,0.421333,0.6435,0.13325,0.51025,2.50433,0.897334,0.3375,0.855583
123876-188421,Jordan Hawkins,SG,NO,MIN,Q,3800,0,11.95,,11.95,3.1447368421052633,0.15,0.12112375717124547,0,100,109.2295,231.5085,12.4615,9,12.75,17,19.375,23.8813,29.3762,11.9507,8.5,12.15,16.3,18.95,23.35,28.651,11.9507,8.5,12.15,16.3,18.95,23.35,28.651,12.1684,8.75,12.4,16.45,19.0075,23.35,28.8005,5.9815,5.93685,5.93685,5.81862,7.24117,16.8167,1.01429,1.27409,2.40334,0.691584,1.71175,0.96325,0.330417,0.305667,0.726792
123876-188434,Gradey Dick,SG,TOR,POR,,3700,0,11.76,,11.76,3.1783783783783783,0.12,0.08855636783138915,0,100,117.8093,231.7748,12.0945,8.25,12,16.25,18.625,23.25,29.25,11.7566,7.85,11.6,15.85,18.3,22.85,28.7,11.7566,7.85,11.6,15.85,18.3,22.85,28.7,11.8337,8.0875,11.75,15.7,18.2,22.65,28.501,6.01631,5.98443,5.98443,5.81353,7.26917,16.8554,1.44958,1.14691,1.92058,0.480666,1.43991,0.8435,0.562334,0.11625,0.700167
123876-203719,Terrence Shannon,SF,MIN,NO,,3700,0,11.45,,11.45,3.0945945945945943,0.16,0.11931047612325497,0,100,122.279,231.5085,11.7761,8.25,11.875,16.25,18.75,23.625,29.125,11.4492,7.95,11.6,15.95,18.55,23.2,28.7515,11.4492,7.95,11.6,15.95,18.55,23.2,28.7515,11.7022,8.25,11.8,16.1625,18.7075,23.3,28.7005,6.02048,6.06599,6.06599,5.94141,6.84808,16.3626,1.63287,0.663375,1.98866,0.416541,1.57212,1.5045,0.4225,0.137875,0.902209
123876-228122,Collin Murray-Boyles,PF/SF,TOR,POR,,4000,0,11.38,,11.38,2.845,0.33,0.25636360395093344,0,100,117.8093,231.7748,11.3467,7.75,11.125,15.125,17.625,22.125,27.3762,11.3834,7.6,11.25,15.25,17.8,22.455,28.2,11.3834,7.6,11.25,15.25,17.8,22.455,28.2,11.4584,7.85,11.3,15.25,17.75,22.3,27.8505,5.64187,5.82018,5.82018,5.68051,5.82609,15.304,1.47083,0.625,2.11475,0.530833,1.58392,1.17633,0.46475,0.310084,0.601834
123876-203772,Justin Edwards,PF/SF,PHI,WAS,,3800,0,10.93,,10.93,2.876315789473684,0.52,0.38886655847312607,0,100,123.2037,235.65800000000002,10.8658,7.125,10.625,14.75,17.125,21.625,27.1262,10.9345,6.9875,10.6,14.85,17.4,21.8525,27.5505,10.9345,6.9875,10.6,14.85,17.4,21.8525,27.5505,10.9559,7.25,10.65,14.75,17.2,21.65,27.2005,5.68166,5.84132,5.84132,5.67169,5.8915,14.9072,1.30408,0.75875,1.57283,0.35525,1.21758,1.144,0.594917,0.226583,0.649917
123876-171748,Malaki Branham,SG,WAS,PHI,,3600,0,10.81,,10.81,3.0027777777777778,0.75,0.6150502020173153,0,100,112.4543,235.65800000000002,11.3632,7.75,11.375,15.5,18,22.5,27.8762,10.8091,7.35,10.95,14.9,17.4,21.8525,27.351,10.8091,7.35,10.95,14.9,17.4,21.8525,27.351,11.0791,7.7,11.2,15.1,17.55,21.9025,27.1,5.7953,5.73485,5.73485,5.61619,7.20241,13.8843,1.63333,0.946415,1.28333,0.348,0.935333,1.50891,0.36525,0.0776666,0.869752
123876-228125,Carter Bryant,SF,SA,MEM,,3500,0,10.61,,10.61,3.031428571428571,1,0.8032623300351615,0,100,117.953,232.11970000000002,10.6069,7.25,10.875,15.125,17.5,22.375,28.75,10.6079,7.2,10.8,15.15,17.7,22.65,29.1005,10.6079,7.2,10.8,15.15,17.7,22.65,29.1005,10.7048,7.4,10.85,15.05,17.65,22.5025,28.851,5.9439,6.10197,6.10197,5.96015,6.10275,12.2182,1.3,0.821917,1.60167,0.35025,1.25142,1.12,0.470084,0.358333,0.636
123876-111376,John Konchar,SF,MEM,SA,,3600,0,10.51,,10.51,2.9194444444444447,0.25,0.19344072250609662,0,100,114.1667,232.11970000000002,10.0621,7,10,13.5,15.875,19.75,24.75,10.509,7.15,10.45,14.3,16.6,21.1,26.401,10.509,7.15,10.45,14.3,16.6,21.1,26.401,10.3651,7.15,10.3,14,16.3,20.55,25.7505,5.07182,5.47537,5.47537,5.25405,2.63233,12.692,0.514084,0.42875,2.58067,0.70225,1.87841,1.7805,0.702084,0.308084,0.391167
123876-203789,Tyler Kolek,PG,NY,BOS,,3700,0,10.21,,10.21,2.75945945945946,0.73,0.5443279282813929,0,100,114.9857,230.1754,10.3888,5.75,8.875,12.625,15,19,24.625,10.2071,5.65,8.7,12.4125,14.7,18.7525,24.251,10.2071,5.65,8.7,12.4125,14.7,18.7525,24.251,10.3223,5.8875,8.9,12.55,14.8,18.75,24.2005,5.18451,5.22722,5.22722,5.09614,4.31358,14.1137,0.6905,0.66925,1.57941,0.346583,1.23284,1.47716,0.416167,0.142834,0.758916
123876-228117,Will Riley,SF,WAS,PHI,,3600,0,9.72,,9.72,2.7,0.83,0.690331005141088,0,100,112.4543,235.65800000000002,10.0514,6.5,9.5,12.875,15,18.75,23.3762,9.71913,6.3,9.2,12.6,14.7,18.25,22.9,9.71913,6.3,9.2,12.6,14.7,18.25,22.9,9.86397,6.45,9.35,12.7,14.8,18.35,22.95,4.81387,4.76342,4.76342,4.71596,3.88684,13.8589,0.963418,0.41675,2.5775,0.695583,1.88191,1.65133,0.11575,0.107584,0.4005
123876-171781,Ochai Agbaji,SG,TOR,POR,,3600,0,9.45,,9.45,2.6249999999999996,0.16,0.1021511692341198,0,100,117.8093,231.7748,9.23808,5.96875,9,12.75,14.875,19.125,24.2512,9.45197,5.85,9.1,13.1,15.3075,19.65,24.9,9.45197,5.85,9.1,13.1,15.3075,19.65,24.9,9.38147,5.95,9.15,12.95,15.05,19.3,24.5005,5.17599,5.38104,5.38104,5.20304,4.63175,14.21,0.932334,0.699417,1.719,0.429667,1.28933,0.698333,0.564083,0.2795,0.434333
